"Archivo","Plantilla","Rubro","Categoría","Productos/Servicios"
"Alimentos y Bebidas/01-dashboard-financiero-Bodega.xlsx","Dashboard Financiero","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Educacion/23-estados-comparativos-Instituto Tecnico.xlsx","Estados Comparativos 3 Años","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/24-costeo-ordenes-Instituto Tecnico.xlsx","Costeo porÓrdenes de Trabajo","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/25-calculadora-cts-Instituto Tecnico.xlsx","Calculadora CTS","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/26-gratificaciones-Instituto Tecnico.xlsx","Calculadora Gratificaciones","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/27-amortizacion-Instituto Tecnico.xlsx","Cuadro de Amortización","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/28-vacaciones-Instituto Tecnico.xlsx","Calculadora Vacaciones","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/29-afp-onp-Instituto Tecnico.xlsx","Calculadora AFP/ONP","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/30-nomina-Instituto Tecnico.xlsx","Calculadora Nómina","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/31-roi-Instituto Tecnico.xlsx","Calculadora ROI","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/32-ipc-Instituto Tecnico.xlsx","Calculadora IPC","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/33-endeudamiento-Instituto Tecnico.xlsx","Capacidad Endeudamiento","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/34-proyeccion-flujo-Instituto Tecnico.xlsx","Proyección Flujo de Caja","Instituto Técnico","Educación","Matrícula | Mensualidad | Curso de Excel | Curso de inglés | Curso de contabilidad | Curso de programación | Certificación | Curso de diseño gráfico"
"Educacion/01-dashboard-financiero-Colegio Particular.xlsx","Dashboard Financiero","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/02-control-ventas-Colegio Particular.xlsx","Control de Ventas","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/03-inventario-Colegio Particular.xlsx","Control de Inventario","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/04-presupuesto-anual-Colegio Particular.xlsx","Presupuesto Anual","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/05-flujo-de-caja-Colegio Particular.xlsx","Flujo de Caja","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/06-gestion-proyectos-Colegio Particular.xlsx","Gestión de Proyectos","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/07-analisis-kpis-Colegio Particular.xlsx","Análisis de KPIs","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/08-control-gastos-Colegio Particular.xlsx","Control de Gastos","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/09-planilla-personal-Colegio Particular.xlsx","Planilla de Personal","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/10-cuentas-por-cobrar-Colegio Particular.xlsx","Cuentas por Cobrar","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/11-caja-diaria-Colegio Particular.xlsx","Caja Diaria","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/12-compras-proveedores-Colegio Particular.xlsx","Compras y Proveedores","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/13-balance-general-Colegio Particular.xlsx","Balance General","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/14-estado-resultados-Colegio Particular.xlsx","Estado de Resultados","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/15-flujo-efectivo-indirecto-Colegio Particular.xlsx","Flujo de Efectivo Indirecto","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/16-conciliacion-bancaria-Colegio Particular.xlsx","Conciliación Bancaria","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/17-libro-diario-Colegio Particular.xlsx","Libro Diario y Mayor","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/18-ratios-financieros-Colegio Particular.xlsx","Ratios Financieros","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/19-control-tributario-Colegio Particular.xlsx","Control Tributario","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/20-presupuesto-centros-costo-Colegio Particular.xlsx","Presupuesto Centros de Costo","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/21-activos-fijos-Colegio Particular.xlsx","Activos Fijos y Depreciación","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/22-punto-equilibrio-Colegio Particular.xlsx","Punto de Equilibrio","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/23-estados-comparativos-Colegio Particular.xlsx","Estados Comparativos 3 Años","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/24-costeo-ordenes-Colegio Particular.xlsx","Costeo porÓrdenes de Trabajo","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/25-calculadora-cts-Colegio Particular.xlsx","Calculadora CTS","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/26-gratificaciones-Colegio Particular.xlsx","Calculadora Gratificaciones","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/27-amortizacion-Colegio Particular.xlsx","Cuadro de Amortización","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/28-vacaciones-Colegio Particular.xlsx","Calculadora Vacaciones","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/29-afp-onp-Colegio Particular.xlsx","Calculadora AFP/ONP","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/30-nomina-Colegio Particular.xlsx","Calculadora Nómina","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/31-roi-Colegio Particular.xlsx","Calculadora ROI","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/32-ipc-Colegio Particular.xlsx","Calculadora IPC","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/33-endeudamiento-Colegio Particular.xlsx","Capacidad Endeudamiento","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/34-proyeccion-flujo-Colegio Particular.xlsx","Proyección Flujo de Caja","Colegio Particular","Educación","Matrícula | Pensión mensual | Cuaderno de apuntes | Uniforme | Materiales | Actividades | Tutoría | Refuerzo escolar"
"Educacion/01-dashboard-financiero-Centro de Idiomas.xlsx","Dashboard Financiero","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/02-control-ventas-Centro de Idiomas.xlsx","Control de Ventas","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/03-inventario-Centro de Idiomas.xlsx","Control de Inventario","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/04-presupuesto-anual-Centro de Idiomas.xlsx","Presupuesto Anual","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/05-flujo-de-caja-Centro de Idiomas.xlsx","Flujo de Caja","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/06-gestion-proyectos-Centro de Idiomas.xlsx","Gestión de Proyectos","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/07-analisis-kpis-Centro de Idiomas.xlsx","Análisis de KPIs","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/08-control-gastos-Centro de Idiomas.xlsx","Control de Gastos","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/09-planilla-personal-Centro de Idiomas.xlsx","Planilla de Personal","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/10-cuentas-por-cobrar-Centro de Idiomas.xlsx","Cuentas por Cobrar","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/11-caja-diaria-Centro de Idiomas.xlsx","Caja Diaria","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/12-compras-proveedores-Centro de Idiomas.xlsx","Compras y Proveedores","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/13-balance-general-Centro de Idiomas.xlsx","Balance General","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/14-estado-resultados-Centro de Idiomas.xlsx","Estado de Resultados","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/15-flujo-efectivo-indirecto-Centro de Idiomas.xlsx","Flujo de Efectivo Indirecto","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/16-conciliacion-bancaria-Centro de Idiomas.xlsx","Conciliación Bancaria","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/17-libro-diario-Centro de Idiomas.xlsx","Libro Diario y Mayor","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/18-ratios-financieros-Centro de Idiomas.xlsx","Ratios Financieros","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/19-control-tributario-Centro de Idiomas.xlsx","Control Tributario","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/20-presupuesto-centros-costo-Centro de Idiomas.xlsx","Presupuesto Centros de Costo","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/21-activos-fijos-Centro de Idiomas.xlsx","Activos Fijos y Depreciación","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/22-punto-equilibrio-Centro de Idiomas.xlsx","Punto de Equilibrio","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/23-estados-comparativos-Centro de Idiomas.xlsx","Estados Comparativos 3 Años","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/24-costeo-ordenes-Centro de Idiomas.xlsx","Costeo porÓrdenes de Trabajo","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/25-calculadora-cts-Centro de Idiomas.xlsx","Calculadora CTS","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/26-gratificaciones-Centro de Idiomas.xlsx","Calculadora Gratificaciones","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/27-amortizacion-Centro de Idiomas.xlsx","Cuadro de Amortización","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/28-vacaciones-Centro de Idiomas.xlsx","Calculadora Vacaciones","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/29-afp-onp-Centro de Idiomas.xlsx","Calculadora AFP/ONP","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/30-nomina-Centro de Idiomas.xlsx","Calculadora Nómina","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/31-roi-Centro de Idiomas.xlsx","Calculadora ROI","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/32-ipc-Centro de Idiomas.xlsx","Calculadora IPC","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/33-endeudamiento-Centro de Idiomas.xlsx","Capacidad Endeudamiento","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/34-proyeccion-flujo-Centro de Idiomas.xlsx","Proyección Flujo de Caja","Centro de Idiomas","Educación","Matrícula | Mensualidad inglés | Mensualidad portugués | Curso intensivo | Conversación | Preparación IELTS | Clase particular | Curso de verano"
"Educacion/01-dashboard-financiero-Tutorias Escolares.xlsx","Dashboard Financiero","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/02-control-ventas-Tutorias Escolares.xlsx","Control de Ventas","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/03-inventario-Tutorias Escolares.xlsx","Control de Inventario","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/04-presupuesto-anual-Tutorias Escolares.xlsx","Presupuesto Anual","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/05-flujo-de-caja-Tutorias Escolares.xlsx","Flujo de Caja","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/06-gestion-proyectos-Tutorias Escolares.xlsx","Gestión de Proyectos","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/07-analisis-kpis-Tutorias Escolares.xlsx","Análisis de KPIs","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/08-control-gastos-Tutorias Escolares.xlsx","Control de Gastos","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/09-planilla-personal-Tutorias Escolares.xlsx","Planilla de Personal","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/10-cuentas-por-cobrar-Tutorias Escolares.xlsx","Cuentas por Cobrar","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/11-caja-diaria-Tutorias Escolares.xlsx","Caja Diaria","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/12-compras-proveedores-Tutorias Escolares.xlsx","Compras y Proveedores","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/13-balance-general-Tutorias Escolares.xlsx","Balance General","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/14-estado-resultados-Tutorias Escolares.xlsx","Estado de Resultados","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/15-flujo-efectivo-indirecto-Tutorias Escolares.xlsx","Flujo de Efectivo Indirecto","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/16-conciliacion-bancaria-Tutorias Escolares.xlsx","Conciliación Bancaria","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/17-libro-diario-Tutorias Escolares.xlsx","Libro Diario y Mayor","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/18-ratios-financieros-Tutorias Escolares.xlsx","Ratios Financieros","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/19-control-tributario-Tutorias Escolares.xlsx","Control Tributario","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/20-presupuesto-centros-costo-Tutorias Escolares.xlsx","Presupuesto Centros de Costo","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/21-activos-fijos-Tutorias Escolares.xlsx","Activos Fijos y Depreciación","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/22-punto-equilibrio-Tutorias Escolares.xlsx","Punto de Equilibrio","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/23-estados-comparativos-Tutorias Escolares.xlsx","Estados Comparativos 3 Años","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/24-costeo-ordenes-Tutorias Escolares.xlsx","Costeo porÓrdenes de Trabajo","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/25-calculadora-cts-Tutorias Escolares.xlsx","Calculadora CTS","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/26-gratificaciones-Tutorias Escolares.xlsx","Calculadora Gratificaciones","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/27-amortizacion-Tutorias Escolares.xlsx","Cuadro de Amortización","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/28-vacaciones-Tutorias Escolares.xlsx","Calculadora Vacaciones","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/29-afp-onp-Tutorias Escolares.xlsx","Calculadora AFP/ONP","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/30-nomina-Tutorias Escolares.xlsx","Calculadora Nómina","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/31-roi-Tutorias Escolares.xlsx","Calculadora ROI","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/32-ipc-Tutorias Escolares.xlsx","Calculadora IPC","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/33-endeudamiento-Tutorias Escolares.xlsx","Capacidad Endeudamiento","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Educacion/34-proyeccion-flujo-Tutorias Escolares.xlsx","Proyección Flujo de Caja","Tutorías Escolares","Educación","Clase de matemáticas | Clase de comunicación | Clase de química | Clase de física | Refuerzo integral | Preparación de exámenes | Tarea dirigida | Clase virtual"
"Transporte y Logistica/01-dashboard-financiero-Transporte de Carga.xlsx","Dashboard Financiero","Transporte de Carga","Transporte y Logística","Flete Lima-Provincia | Flete local | Alquiler camión hora | Mudanza | Transporte de material | Encomienda | Carga refrigerada | Almacenaje"
"Transporte y Logistica/02-control-ventas-Transporte de Carga.xlsx","Control de Ventas","Transporte de Carga","Transporte y Logística","Flete Lima-Provincia | Flete local | Alquiler camión hora | Mudanza | Transporte de material | Encomienda | Carga refrigerada | Almacenaje"
"Transporte y Logistica/03-inventario-Transporte de Carga.xlsx","Control de Inventario","Transporte de Carga","Transporte y Logística","Flete Lima-Provincia | Flete local | Alquiler camión hora | Mudanza | Transporte de material | Encomienda | Carga refrigerada | Almacenaje"
"Transporte y Logistica/04-presupuesto-anual-Transporte de Carga.xlsx","Presupuesto Anual","Transporte de Carga","Transporte y Logística","Flete Lima-Provincia | Flete local | Alquiler camión hora | Mudanza | Transporte de material | Encomienda | Carga refrigerada | Almacenaje"
